Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples	n_samples	altered_sample_percentage
KCNV2	0	0	0	1	0	0	0	0	1	1	1	16	6.25
KCTD8	0	0	0	0	0	0	0	1	1	1	1	16	6.25
KL	0	0	0	1	0	0	0	0	1	1	1	16	6.25
KLHL28	0	0	1	0	0	0	0	0	1	1	1	16	6.25
KPNA5	0	0	0	1	0	0	0	0	1	1	1	16	6.25
KRT10	0	0	1	0	0	0	0	0	1	1	1	16	6.25
LAMA1	0	0	0	1	0	0	0	0	1	1	1	16	6.25
LAMC1	0	0	0	0	0	0	0	1	1	1	1	16	6.25
LFNG	0	0	0	1	0	0	0	0	1	1	1	16	6.25
LILRA1	0	0	0	1	0	0	0	0	1	1	1	16	6.25
LILRA6	0	0	0	1	0	0	0	0	1	1	1	16	6.25
LILRB3	0	0	0	1	0	0	0	0	1	1	1	16	6.25
LIN7B	0	0	0	0	0	0	1	0	1	1	1	16	6.25
LPXN	0	0	0	1	0	0	0	0	1	1	1	16	6.25
LRP1	0	0	0	0	1	0	0	0	1	1	1	16	6.25
LRP3	0	0	0	1	0	0	0	0	1	1	1	16	6.25
LRRC53	0	0	0	1	0	0	0	0	1	1	1	16	6.25
LRRC8C	0	0	0	1	0	0	0	0	1	1	1	16	6.25
MAGEB2	1	0	0	0	0	0	0	0	1	1	1	16	6.25
MAMDC4	0	0	0	0	1	0	0	0	1	1	1	16	6.25
MAST4	0	0	0	1	0	0	0	0	1	1	1	16	6.25
MDC1	0	0	0	1	0	0	0	0	1	1	1	16	6.25
MEGF6	0	0	0	1	0	0	0	0	1	1	1	16	6.25
MEGF8	0	0	0	1	0	0	0	0	1	1	1	16	6.25
METTL2B	0	0	0	1	0	0	0	0	1	1	1	16	6.25
MROH2A	0	0	0	0	0	0	1	0	1	1	1	16	6.25
MUC5B	0	0	0	1	0	0	0	0	1	1	1	16	6.25
MUC6	0	0	0	1	0	0	0	0	1	1	1	16	6.25
MYO1E	0	0	0	1	0	0	0	0	1	1	1	16	6.25
NAGPA	1	0	0	0	0	0	0	0	1	1	1	16	6.25
NBEAL2	0	0	0	0	0	0	1	0	1	1	1	16	6.25
NCOA3	0	0	1	0	0	0	0	0	1	1	1	16	6.25
NPAP1	0	0	0	1	0	0	0	0	1	1	1	16	6.25
NYNRIN	0	0	0	1	0	0	0	0	1	1	1	16	6.25
OCSTAMP	0	0	0	1	0	0	0	0	1	1	1	16	6.25
OPRK1	0	0	0	1	0	0	0	0	1	1	1	16	6.25
OR5AK2	0	0	0	1	0	0	0	0	1	1	1	16	6.25
OR5AN1	0	0	0	1	0	0	0	0	1	1	1	16	6.25
OR6X1	1	0	0	0	0	0	0	0	1	1	1	16	6.25
OR8J3	0	0	0	1	0	0	0	0	1	1	1	16	6.25
OTOG	0	0	0	1	0	0	0	0	1	1	1	16	6.25
OTOGL	0	0	0	1	0	0	0	0	1	1	1	16	6.25
OTOP2	0	0	0	1	0	0	0	0	1	1	1	16	6.25
PEX14	0	0	0	0	0	1	0	0	1	1	1	16	6.25
PHYH	0	0	0	1	0	0	0	0	1	1	1	16	6.25
PIK3R2	0	0	0	1	0	0	0	0	1	1	1	16	6.25
PKD1	0	0	0	1	0	0	0	0	1	1	1	16	6.25
PLAU	0	0	0	1	0	0	0	0	1	1	1	16	6.25
POLR3GL	0	0	1	0	0	0	0	0	1	1	1	16	6.25
POTEF	0	0	0	1	0	0	0	0	1	1	1	16	6.25
POU6F1	0	0	0	0	1	0	0	0	1	1	1	16	6.25
PRAMEF27	0	0	0	1	0	0	0	0	1	1	1	16	6.25
PRAMEF9	0	0	0	1	0	0	0	0	1	1	1	16	6.25
PRKD3	0	0	0	0	0	0	1	0	1	1	1	16	6.25
PRR36	0	0	0	1	0	0	0	0	1	1	1	16	6.25
PTPN6	0	0	0	1	0	0	0	0	1	1	1	16	6.25
PYGM	0	0	0	1	0	0	0	0	1	1	1	16	6.25
RANBP9	0	0	0	1	0	0	0	0	1	1	1	16	6.25
RBL1	0	0	0	1	0	0	0	0	1	1	1	16	6.25
RBM4	0	0	1	0	0	0	0	0	1	1	1	16	6.25
REPIN1	0	0	1	0	0	0	0	0	1	1	1	16	6.25
REXO1	0	0	0	1	0	0	0	0	1	1	1	16	6.25
RGPD4	0	0	0	1	0	0	0	0	1	1	1	16	6.25
RTN4	1	0	0	0	0	0	0	0	1	1	1	16	6.25
SCGB3A1	0	0	0	1	0	0	0	0	1	1	1	16	6.25
SHB	1	0	0	0	0	0	0	0	1	1	1	16	6.25
SIX4	0	0	0	1	0	0	0	0	1	1	1	16	6.25
SLC10A4	0	0	0	1	0	0	0	0	1	1	1	16	6.25
SLC4A5	0	0	0	1	0	0	0	0	1	1	1	16	6.25
SLFN12L	0	0	0	1	0	0	0	0	1	1	1	16	6.25
SLIT3	0	0	0	1	0	0	0	0	1	1	1	16	6.25
SMARCA4	0	0	0	1	0	0	0	0	1	1	1	16	6.25
SNTB2	0	0	0	1	0	0	0	0	1	1	1	16	6.25
SOX1	1	0	0	0	0	0	0	0	1	1	1	16	6.25
SPATA31A1	0	0	0	1	0	0	0	0	1	1	1	16	6.25
SRPX	0	0	1	0	0	0	0	0	1	1	1	16	6.25
TBCK	0	0	0	1	0	0	0	0	1	1	1	16	6.25
TBRG4	0	0	0	0	0	0	1	0	1	1	1	16	6.25
TESK1	0	0	0	1	0	0	0	0	1	1	1	16	6.25
TGM1	0	0	0	1	0	0	0	0	1	1	1	16	6.25
TINAG	0	0	0	0	0	0	1	0	1	1	1	16	6.25
TLR3	1	0	0	0	0	0	0	0	1	1	1	16	6.25
TMEM207	1	0	0	0	0	0	0	0	1	1	1	16	6.25
TNRC6B	0	0	1	0	0	0	0	0	1	1	1	16	6.25
TRIM59	0	1	0	0	0	0	0	0	1	1	1	16	6.25
TRIM68	0	0	0	1	0	0	0	0	1	1	1	16	6.25
TSC22D2	0	0	0	1	0	0	0	0	1	1	1	16	6.25
TSPEAR	1	0	0	0	0	0	0	0	1	1	1	16	6.25
TTLL4	1	0	0	0	0	0	0	0	1	1	1	16	6.25
TTN	0	0	0	1	0	0	0	0	1	1	1	16	6.25
UBTF	0	0	1	0	0	0	0	0	1	1	1	16	6.25
UCMA	0	0	0	1	0	0	0	0	1	1	1	16	6.25
UGT2B17	0	0	0	1	0	0	0	0	1	1	1	16	6.25
USP22	0	0	0	0	0	0	0	1	1	1	1	16	6.25
UST	0	0	0	1	0	0	0	0	1	1	1	16	6.25
VEZF1	0	0	1	0	0	0	0	0	1	1	1	16	6.25
WNK1	0	0	0	1	0	0	0	0	1	1	1	16	6.25
XPO6	1	0	0	0	0	0	0	0	1	1	1	16	6.25
YEATS2	0	0	0	1	0	0	0	0	1	1	1	16	6.25
ZDHHC6	0	0	0	1	0	0	0	0	1	1	1	16	6.25
ZIC5	0	0	0	1	0	0	0	0	1	1	1	16	6.25
ZNF28	0	0	0	1	0	0	0	0	1	1	1	16	6.25
ZNF43	0	0	0	1	0	0	0	0	1	1	1	16	6.25
ZNF436	0	0	1	0	0	0	0	0	1	1	1	16	6.25
ZNF461	0	0	0	1	0	0	0	0	1	1	1	16	6.25
ZNF541	1	0	0	0	0	0	0	0	1	1	1	16	6.25
ZNF546	0	0	0	1	0	0	0	0	1	1	1	16	6.25
ZNF676	0	0	0	1	0	0	0	0	1	1	1	16	6.25
ZNF865	0	0	0	1	0	0	0	0	1	1	1	16	6.25
