Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples	n_samples	altered_sample_percentage
TOGARAM2	0	0	0	1	0	0	0	0	1	1	1	8	12.5
TPSAB1	0	0	0	1	0	0	0	0	1	1	1	8	12.5
TRAF7	0	0	0	0	0	0	1	0	1	1	1	8	12.5
TRBV6-2	0	0	0	1	0	0	0	0	1	1	1	8	12.5
TRIOBP	0	0	1	0	0	0	0	0	1	1	1	8	12.5
TUBB8	0	0	0	1	0	0	0	0	1	1	1	8	12.5
ZAN	0	0	0	1	0	0	0	0	1	1	1	8	12.5
ZFP92	0	0	1	0	0	0	0	0	1	1	1	8	12.5
ZKSCAN1	0	0	0	1	0	0	0	0	1	1	1	8	12.5
ZNF91	0	0	0	1	0	0	0	0	1	1	1	8	12.5
ZNF93	0	0	0	1	0	0	0	0	1	1	1	8	12.5
